image_urls,chip_info
['http://themogh.org/cg_pix/nv/s/20956.jpg'],"CG020956 Obsolete Denom: $1 Issued: 1955 Last Update: 2014-02-25 Color: PURPLE Mold: H&C (CJ) Inlay: HS-GOLD Catalog#: N3881 Contributed by: James Campiglia no WELLS, NEV Show"
['http://themogh.org/cg_pix/nv/22283.jpg'],"CG022283 Obsolete Denom: $1 Issued: 1957 Last Update: 2014-02-25 Color: PURPLE Mold: H&C (CJ) Inlay: HS-GOLD Catalog#: N3146 Contributed by: Gene Lonstein Wells, Nev. Show"
"['http://themogh.org/cg_pix/nv/20799.jpg', 'http://themogh.org/cg_pix/nv/20799a.jpg']",CG020799 Obsolete Denom: $1 Issued: 1970s Last Update: 2016-09-20 Color: Purple Mold: LgKey Inlay: HS-GOLD Catalog#: N5739 Contributed by: Greg Susong Show
[],CG030563 Obsolete Denom: $5 Issued: 1955 Added: 2016-01-13 Last Update: 2016-01-13 Color: MUSTARD Mold: H&C (CJ) Inlay: HS-GOLD Catalog#: N3825 Show
"['http://themogh.org/cg_pix/nv/030564.jpg', 'http://themogh.org/cg_pix/nv/030564a.jpg']",CG030564 Obsolete Denom: $5 Issued: 1970s Added: 2018-03-26 Last Update: 2018-03-26 Color: Mustard Mold: LgKey Inlay: HS-GOLD Catalog#: N5717 Contributed by: David Sarles Show
"['http://themogh.org/cg_pix/nv/030565.jpg', 'http://themogh.org/cg_pix/nv/030565a.jpg']",CG030565 Obsolete Denom: $5 Issued: 1980s Added: 2011-01-30 Last Update: 2020-06-30 Color: Mustard Mold: HHR Inlay: HS-GOLD Catalog#: N4304 Contributed by: James Campiglia Updated by: Steve Clark Show
['http://themogh.org/cg_pix/nv/030566.jpg'],CG030566 Obsolete Denom: $5 Issued: 1989 Added: 2011-01-30 Last Update: 2020-06-30 Color: Red Inserts: 3-Purple Mold: DieSuits (LOT) Inlay: CIC-SILVER Catalog#: N3145 Contributed by: Gary Acquistapace Updated by: Steve Clark Spun coin Show
['http://themogh.org/cg_pix/nv/030567.jpg'],CG030567 Obsolete Denom: $5 Issued: 1997 Added: 2011-01-30 Last Update: 2020-06-30 Color: Red Inserts: 3-Purple Mold: 3X4Suits (ROT) Inlay: CIC-SILVER Catalog#: V2015 Contributed by: Ross Poppel Updated by: Steve Clark Show
"['http://themogh.org/cg_pix/nv/262087.jpg', 'http://themogh.org/cg_pix/nv/262087a.jpg']","CG262087 Obsolete Denom: $5 Issued: 1955 Added: 2021-03-08 Color: Mustard Mold: H&C (CJ) Inlay: HS-GOLD Catalog#: N3825 Contributed by: David Sarles Wells, Nev. Show"
['http://themogh.org/cg_pix/nv/030568.jpg'],CG030568 Obsolete Denom: $25 Issued: 1989 Added: 2011-01-30 Last Update: 2020-06-30 Color: Green Inserts: 6-White Mold: Die4Suit (LOT) Inlay: CIC-SILVER Catalog#: N0888 Updated by: Steve Clark Spun coin Show
[],
