image_urls,chip_info
['http://themogh.org/cg_pix/nv/s/20981.jpg'],CG020981 Obsolete Denom: $1 Issued: 1979 Last Update: 2014-02-25 Color: Ochre Mold: House Inlay: R-LT BROWN Logo: BC Catalog#: N1360 Contributed by: Ernie Molinari No location Show
['http://themogh.org/cg_pix/nv/s/20384.jpg'],"CG020384 Obsolete Denom: $1 Issued: 1982 Last Update: 2014-02-25 Color: Ochre Mold: House Inlay: R-LT GOLD Logo: BC Catalog#: N1360.1 Contributed by: Ernie Molinari No location, linen inlay Show"
['http://themogh.org/cg_pix/nv/116934.jpg'],"CG116934 Obsolete Denom: $1 Issued: 1982 Added: 2013-10-26 Last Update: 2016-09-26 Color: Ochre Mold: House Inlay: R-LT BROWN Logo: BC Catalog#: N1360.2 Contributed by: Cale Guthmiller No location, satin inlay Show"
['http://themogh.org/cg_pix/nv/s/20982.jpg'],CG020982 Obsolete Denom: $1 Issued: 1982 Last Update: 2014-02-25 Color: Ochre Mold: House Inlay: R-BROWN Logo: BC Catalog#: N1360.3 Contributed by: Ernie Molinari No location Show
['http://themogh.org/cg_pix/nv/020983.jpg'],"CG020983 Obsolete Denom: $1 Issued: 1985 Last Update: 2020-06-30 Color: Ochre Mold: House Inlay: R-BROWN Logo: BC Catalog#: N7983 Contributed by: Ernie Molinari Updated by: Steve Clark Las Vegas, NV. Show"
['http://themogh.org/cg_pix/nv/18133.jpg'],"CG018133 Obsolete Denom: $1 Issued: 1985 Last Update: 2014-02-25 Color: Ochre Mold: House Inlay: R-LT GOLD Logo: BC Catalog#: N7983.1 Contributed by: Greg Susong Las Vegas, NV Show"
"['http://themogh.org/cg_pix/nv/05624.jpg', 'http://themogh.org/cg_pix/nv/05624uv.jpg']",CG005624 Obsolete Denom: $1 Issued: 1998 Last Update: 2017-03-27 Color: Ochre Mold: House Inlay: OR-WHITE-WG Logo: Sm Rose Catalog#: N9333 Contributed by: Greg Susong Live the Legend; UV security date 1998 NGCB lists chip color as Gold. Show
"['http://themogh.org/cg_pix/nv/19917.jpg', 'http://themogh.org/cg_pix/nv/19264a.jpg']",CG019264 Obsolete Denom: $1 Issued: 1999 Last Update: 2017-03-27 Color: Ochre Mold: House Inlay: OR-WHITE-WG Logo: Sm Rose Catalog#: N9333.1 Contributed by: Greg Susong Live the Legend; UV security date 99 NGCB lists chip color as Gold. Show
"['http://themogh.org/cg_pix/nv/20625.jpg', 'http://themogh.org/cg_pix/nv/s/20625uv.jpg']",CG020625 Obsolete Denom: $1 Issued: 2000 Last Update: 2017-03-27 Color: Ochre Mold: House Inlay: OR-WHITE-WG Logo: Sm Rose Catalog#: N9333.2 Contributed by: Cale Guthmiller Live the Legend; UV security date 00 NGCB lists chip color as Gold. Show
"['http://themogh.org/cg_pix/nv/19918.jpg', 'http://themogh.org/cg_pix/nv/s/19918uv.jpg']",CG019918 Obsolete Denom: $1 Issued: 2001 Last Update: 2017-03-27 Color: Ochre Mold: House Inlay: OR-WHITE-WG Logo: Sm Rose Catalog#: N9333.3 Contributed by: Pat Fricke Live the Legend; UV security date 01 NGCB lists chip color as Gold. Show
"['http://themogh.org/cg_pix/nv/19919.jpg', 'http://themogh.org/cg_pix/nv/19919uv.jpg']",CG019919 Obsolete Denom: $1 Issued: 2002 Last Update: 2017-03-27 Color: Ochre Mold: House Inlay: OR-WHITE-WG Logo: Sm Rose Catalog#: N9333.4 Contributed by: Greg Susong Live the Legend; UV security date 02 NGCB lists chip color as Gold. Show
"['http://themogh.org/cg_pix/nv/116935.jpg', 'http://themogh.org/cg_pix/nv/116935a.jpg']",CG116935 Obsolete Denom: $1 Issued: 2003 Added: 2013-10-26 Last Update: 2017-03-27 Color: Ochre Mold: House Inlay: OR-WHITE-WG Logo: Sm Rose Catalog#: N9333.5 Contributed by: Cale Guthmiller Live the Legend; UV security date 03 NGCB lists chip color as Gold. Show
['http://themogh.org/cg_pix/nv/270009.jpg'],CG270009 Obsolete Denom: $1 Issued: 2003 Added: 2021-08-06 Color: Ochre Mold: House Inlay: OR-WHITE-WG Logo: Sm Rose Catalog#: N9333 Contributed by: Wayne Gregory Live the Legend; no UV Show
"['http://themogh.org/cg_pix/nv/19220.jpg', 'http://themogh.org/cg_pix/nv/19220uv.jpg']",CG019220 Obsolete Denom: $1 Event: Anniversary Issued: 2003 Last Update: 2014-02-25 Color: Ochre Mold: House Inlay: OOR-OCHRE-FG Logo: Lg Rose Catalog#: E0055 Contributed by: Greg Susong 25th Anniversary - UV security date 2003 Show
"['http://themogh.org/cg_pix/nv/19920.jpg', 'http://themogh.org/cg_pix/nv/19920uv.jpg']",CG019920 Obsolete Denom: $1 Event: Anniversary Issued: 2004 Last Update: 2014-02-25 Color: Ochre Mold: House Inlay: OOR-OCHRE-FG Logo: Lg Rose Catalog#: E0055.1 Contributed by: Greg Susong 25th Anniversary - UV security date 2004 Show
