image_urls,chip_info
['http://themogh.org/cg_pix/nv/30559.jpg'],CG030559 Obsolete Denom: 25¢ Issued: 1991 Added: 2011-01-30 Last Update: 2012-03-13 Color: MUSTARD Mold: HHR Inlay: HS-GOLD Catalog#: N1457 Contributed by: Ross Poppel Show
['http://themogh.org/cg_pix/nv/11272.jpg'],CG011272 Obsolete Denom: $1 Issued: 1991 Last Update: 2013-12-10 Color: Cream Mold: HHR Inlay: HS-GOLD Logo: Bull's Head Catalog#: N1456 Contributed by: Greg Susong Show
['http://themogh.org/cg_pix/nv/30560.jpg'],CG030560 Obsolete Denom: $5 Issued: 1991 Added: 2011-01-30 Last Update: 2011-01-30 Color: Brnt-Org Inserts: 3 Split-Black Mold: HHR Catalog#: N1455 Show
['http://themogh.org/cg_pix/nv/297523.jpg'],CG297523 Obsolete Denom: $5 Issued: 1991 Added: 2022-12-21 Color: Brnt-Org Inserts: 3 Split-Black Mold: HHR Catalog#: N1455.C Contributed by: David Sarles Show
['http://themogh.org/cg_pix/nv/30561.jpg'],CG030561 Obsolete Denom: $25 Issued: 1991 Added: 2011-01-30 Last Update: 2011-01-30 Color: Green Inserts: 3 Split-Black Mold: HHR Catalog#: N4294 Show
"['http://themogh.org/cg_pix/nv/297525.jpg', 'http://themogh.org/cg_pix/nv/297525a.jpg']",CG297525 Obsolete Denom: $25 Issued: 1991 Added: 2022-12-21 Color: Green Inserts: 3 Split-Black Mold: HHR Catalog#: N4294.1 Contributed by: David Sarles Inlay Error Show
['http://themogh.org/cg_pix/nv/297524.jpg'],CG297524 Obsolete Denom: $25 Issued: 1991 Added: 2022-12-21 Color: Green Inserts: 3 Split-Black Mold: HHR Catalog#: N4294.C Contributed by: David Sarles Notched. Show
['http://themogh.org/cg_pix/nv/30562.jpg'],CG030562 Obsolete Denom: $100 Issued: 1991 Added: 2011-01-30 Last Update: 2011-01-30 Color: BLACK Inserts: 3 Split-White Mold: HHR Catalog#: E5691 Show
['http://themogh.org/cg_pix/nv/270783.jpg'],CG270783 Obsolete Denom: $100 Issued: 1991 Added: 2021-08-19 Color: Black Inserts: 3 sxs White Mold: HHR Inlay: R-White Catalog#: E5691 Contributed by: Greg Ikemoto Notched Show
[],
