image_urls,chip_info,issue_date,is_obsolete,has_valid_image
['http://themogh.org/cg_pix/nv/18716.jpg'],"CG018716 Current Denom: $1 Issued: 1989 Last Update: 2016-10-01 Color: Blue Inserts: 3-Navy 3-White Mold: House Inlay: R-BLACK/YELLOW Logo: Stagecoach Catalog#: N4965.1 Contributed by: Greg Susong VERDI, NV Show",2016-10-01,False,True
['http://themogh.org/cg_pix/nv/20529.jpg'],CG020529 Current Denom: $1 Issued: 1997 Last Update: 2014-03-24 Color: BLUE Inserts: 3-Navy 3-White Mold: H&C (SCV) Inlay: R-BLACK/YELLOW Logo: Stagecoach Catalog#: N9369 Contributed by: Greg Susong $ even with bill of 1 Show,2014-03-24,False,True
['http://themogh.org/cg_pix/nv/04925.jpg'],CG004925 Current Denom: $1 Issued: 1997 Last Update: 2014-03-24 Color: BLUE Inserts: 3-Navy 3-White Mold: H&C (SCV) Inlay: R-BLACK/YELLOW Logo: Stagecoach Catalog#: N9369.1 Contributed by: Greg Susong $ below bill of 1 Show,2014-03-24,False,True
['http://themogh.org/cg_pix/nv/164855.jpg'],CG164855 Current Series: 216 Denom: $1 Issued: 2016 Added: 2016-06-18 Last Update: 2020-05-16 Color: Sky Blue Inserts: 2-Dark Blue Mold: H&C (RHC) Inlay: OR-BLUE Catalog#: TCR# D2326 Contributed by: Curt Squires Show,2016-06-18,False,True
['http://themogh.org/cg_pix/nv/164856.jpg'],CG164856 Current Series: 216 Denom: $5 Issued: 2016 Added: 2016-06-18 Last Update: 2016-06-18 Color: Red Inserts: 3 White/Yellow Mold: H&C (RHC) Inlay: OR-Multi Catalog#: NotInTCR Contributed by: Curt Squires Show,2016-06-18,False,True
['http://themogh.org/cg_pix/nv/87077.jpg'],CG087077 Current Denom: $5 Issued: 1967 Added: 2012-07-08 Last Update: 2014-06-10 Color: Brown Inserts: 3 Orange Mold: Horshu Inlay: R-White/Gray Logo: Stagecoach Catalog#: N4378 Contributed by: Brian Meath Show,2012-07-08,False,True
['http://themogh.org/cg_pix/nv/41035.jpg'],"CG041035 Current Denom: $5 Issued: 1975 Added: 2011-08-12 Last Update: 2014-06-10 Color: RED Inserts: 3 Pink, 3 White Mold: House Inlay: R-BLACK/YEL Logo: Stagecoach Catalog#: N4614 Contributed by: Terry Shaffer No Verdi, NV Show",2011-08-12,False,True
['http://themogh.org/cg_pix/nv/72681.jpg'],"CG072681 Current Denom: $5 Issued: 1989 Added: 2012-04-28 Last Update: 2014-06-10 Color: RED Inserts: 3 Pink, 3 White Mold: House Inlay: R-BLACK/YEL Logo: Stagecoach Catalog#: N4966 Contributed by: Terry Shaffer Verdi, NV Show",2012-04-28,False,True
['http://themogh.org/cg_pix/nv/73435.jpg'],"CG073435 Current Denom: $5 Issued: 1996 Added: 2012-05-08 Last Update: 2014-06-10 Color: RED Inserts: 3 Pink, 3 White Mold: H&C (SCV) Inlay: R-BLACK/YEL Logo: Stagecoach Catalog#: N8021 Contributed by: Terry Shaffer Verdi, NV Show",2012-05-08,False,True
['http://themogh.org/cg_pix/nv/292117.jpg'],"CG292117 Current Denom: $5 Issued: 1975 Added: 2022-09-14 Color: Red Inserts: 3 Pink, 3 White Mold: House Inlay: R-BLACK/YEL Logo: Stagecoach Catalog#: N4614.C Contributed by: Greg Ikemoto No Verdi, NV - Notched and Drilled Show",2022-09-14,False,True
['http://themogh.org/cg_pix/nv/164857.jpg'],"CG164857 Current Series: 216 Denom: $25 Issued: 2016 Added: 2016-06-18 Last Update: 2016-06-18 Color: Green Inserts: 4 Blue, 4 Peach Mold: H&C (RHC) Inlay: OR-Multi Catalog#: NotInTCR Contributed by: Curt Squires Show",2016-06-18,False,True
['http://themogh.org/cg_pix/nv/128978.jpg'],CG128978 Current Denom: $25 Issued: 1975 Added: 2014-06-10 Last Update: 2014-12-20 Color: Green Inserts: 3ylw/Blu Mold: House Inlay: SCA-Black/red Logo: Stagecoach Catalog#: V2167 Contributed by: Steve Clark No VERDI Show,2014-06-10,False,True
['http://themogh.org/cg_pix/nv/128979.jpg'],"CG128979 Current Denom: $25 Issued: 1989 Added: 2017-12-18 Last Update: 2017-12-18 Color: Green Inserts: 3 Yellow, 3 Blue Mold: House Inlay: SCA-Black/Orange Logo: Stagecoach Catalog#: N9375 Contributed by: David Sarles VERDI, NV Show",2017-12-18,False,True
['http://themogh.org/cg_pix/nv/292118.jpg'],"CG292118 Current Denom: $25 Issued: 1989 Added: 2022-09-14 Color: Green Inserts: 3 Yellow, 3 Blue Mold: House Inlay: SCA-Black/Orange Logo: Stagecoach Catalog#: N9375.C Contributed by: Greg Ikemoto VERDI, NV Show",2022-09-14,False,True
['http://themogh.org/cg_pix/nv/201056.jpg'],CG201056 Current Denom: $100 Issued: 2016 Added: 2018-05-13 Last Update: 2018-05-15 Color: Black Inserts: 3 Blue/Pink/Blue Mold: H&C (RHC) Inlay: OR-Black/Pink Logo: Cowboy Catalog#: NotInTCR Contributed by: Sherry and Johnny Mac Reno Show,2018-05-13,False,True
['http://themogh.org/cg_pix/nv/87078.jpg'],"CG087078 Current Denom: $100 Issued: 1967 Added: 2012-07-08 Last Update: 2014-06-10 Color: Black Inserts: 3 Orange, 3 White Mold: House Inlay: COG-White/Black Logo: Stagecoach Catalog#: N9377 Contributed by: Brian Meath VERDI, NV Show",2012-07-08,False,True
['http://themogh.org/cg_pix/nv/128982.jpg'],"CG128982 Current Denom: $100 Issued: 1975 Added: 2020-08-30 Last Update: 2020-08-30 Color: Black Inserts: 3 Orange, 3 White Mold: H&C (SCV) Inlay: COG-White/Black Logo: Stagecoach Catalog#: V6689 Contributed by: David Sarles 1st Issue
No VERDI, NV - drilled Show",2020-08-30,False,True
['http://themogh.org/cg_pix/nv/292119.jpg'],"CG292119 Current Denom: $100 Issued: 1975 Added: 2022-09-14 Last Update: 2022-09-17 Color: Black Inserts: 3 Orange, 3 White Mold: House Inlay: COG-White/Black Logo: Stagecoach Catalog#: N9377.C Contributed by: David Sarles 1st Issue
No VERDI, NV - notched and drilled Show",2022-09-14,False,True
