image_urls,chip_info,issue_date,is_obsolete
['http://themogh.org/cg_pix/nv/301628.jpg'],"CG301628 Current Denom: $1 Issued: 2023 Added: 2023-02-28 Last Update: 2023-06-26 Color: Blue Inserts: 1 Gold, 1 Gray, 1 Yellow Mold: H&C (RHC) Inlay: HS Gold Catalog#: NotinTCR Show",2023-02-28,False
['http://themogh.org/cg_pix/nv/128110.jpg'],"CG128110 Current Denom: $100 Issued: 2008 Added: 2020-10-07 Last Update: 2020-10-07 Color: Black Inserts: 4 White, 4 Lt Green Mold: House Inlay: OR-GRAY Catalog#: E7767 Contributed by: Steve Everett White B Logo Show",2020-10-07,False
['http://themogh.org/cg_pix/nv/262652.jpg'],"CG262652 Current Denom: $100 Issued: 1998 Added: 2021-03-21 Last Update: 2021-03-21 Color: Black Inserts: 2-Apricot-V 2-Split Apricot-V Mold: House Inlay: OOR-White Catalog#: V2132.C Contributed by: David Sarles Baccarat, notched and drilled, 43 mm Show",2021-03-21,False
['http://themogh.org/cg_pix/nv/262768.jpg'],CG262768 Current Denom: $100 Issued: 1998 Added: 2021-03-22 Color: Black Inserts: 4-Fuschia 4-White 4-Peach Mold: House Inlay: OOR-GRAY-WG Logo: Logo Catalog#: V2131.C Contributed by: David Sarles Notched and Drilled Show,2021-03-22,False
['http://themogh.org/cg_pix/nv/271302.jpg'],"CG271302 Current Denom: $500 Added: 2021-09-06 Last Update: 2021-09-07 Color: Blue Inserts: 4 sxsxs Brown/Orange/Salmon Mold: House Inlay: OR-Gray Logo: B Contributed by: Robert Krueger Baccarat, 43mm Show",2021-09-06,False
['http://themogh.org/cg_pix/nv/253278.jpg'],CG253278 Current Denom: $500 Issued: 2008 Added: 2020-10-07 Last Update: 2021-09-06 Color: Blue Inserts: 4 sxsxs Brown/Orange/Salmon Mold: House Inlay: OR-Gray Logo: B Catalog#: TCR #E7769 Contributed by: Steve Everett Show,2020-10-07,False
['http://themogh.org/cg_pix/nv/262737.jpg'],CG262737 Current Denom: $500 Added: 2021-03-22 Last Update: 2021-03-22 Color: Fuschia Inserts: 4 Green Mold: House Inlay: OOR-GRAY-WS Catalog#: Not in TCR Contributed by: David Sarles 43mm Show,2021-03-22,False
['http://themogh.org/cg_pix/nv/262769.jpg'],CG262769 Current Denom: $500 Added: 2021-03-22 Color: Purple Inserts: 8 White Mold: House Inlay: OOR-GRAY-WS Catalog#: V2133 Contributed by: David Sarles Drilled and Notched Show,2021-03-22,False
['http://themogh.org/cg_pix/nv/253277.jpg'],CG253277 Current Denom: $1000 Issued: 1988 Added: 2020-10-07 Color: Yellow Inserts: 6 Black/Red Mold: House Inlay: OR-Gray Logo: B Catalog#: TCR #E7772 Contributed by: Steve Everett Show,2020-10-07,False
['http://themogh.org/cg_pix/nv/271069.jpg'],"CG271069 Current Denom: $1000 Issued: 1988 Added: 2021-08-30 Color: Yellow Inserts: 6 Black/Red Mold: House Inlay: OR-Gray Logo: B Catalog#: E7773 Contributed by: Robert Krueger 43mm, Bacarrat Show",2021-08-30,False
['http://themogh.org/cg_pix/nv/262738.jpg'],"CG262738 Current Denom: $1000 Added: 2021-03-22 Color: Yellow Inserts: 4 Blue Mold: House Inlay: OR-White Logo: B Catalog#: Not in TCR Contributed by: David Sarles 43mm, Baccarat Show",2021-03-22,False
['http://themogh.org/cg_pix/nv/262770.jpg'],CG262770 Current Denom: $1000 Added: 2021-03-22 Color: Yellow Inserts: 4 Purple/Teal/Purple Mold: House Inlay: OOR-GRAY-WS Catalog#: Not in TCR Contributed by: David Sarles Drilled and Notched Show,2021-03-22,False
['http://themogh.org/cg_pix/nv/241282.jpg'],CG241282 Current Denom: $5000 Added: 2020-05-11 Last Update: 2020-05-11 Color: White Inserts: 8 Red/Blue Mold: House Inlay: OR-Gray Catalog#: NotInTCR Show,2020-05-11,False
['http://themogh.org/cg_pix/nv/271064.jpg'],"CG271064 Current Denom: $5000 Added: 2021-08-29 Last Update: 2021-08-29 Color: White Inserts: 8 Red/Blue Mold: House Inlay: OR-Gray Catalog#: E7776 Contributed by: Robert Krueger Baccarat, 43mm Show",2021-08-29,False
['http://themogh.org/cg_pix/nv/262765.jpg'],"CG262765 Current Denom: $5000 Added: 2021-03-22 Last Update: 2021-03-22 Color: White Inserts: 3 Pink/Blue/Pink Mold: House Inlay: OOR-GRAY-WS Catalog#: NotInTCR Contributed by: David Sarles Notched and Drilled, Baccarat, 43mm Show",2021-03-22,False
['http://themogh.org/cg_pix/nv/262771.jpg'],CG262771 Current Denom: $5000 Added: 2021-03-22 Color: White Inserts: 4 Blue/Red/Blue Mold: House Inlay: OOR-GRAY-WS Catalog#: NotInTCR Contributed by: David Sarles Notched and Drilled Show,2021-03-22,False
['http://themogh.org/cg_pix/nv/262766.jpg'],"CG262766 Current Denom: $25000 Added: 2021-03-22 Last Update: 2021-03-22 Color: Pink Inserts: 2 White/Blurple Mold: House Inlay: OOR-GRAY-WS Catalog#: NotInTCR Contributed by: David Sarles Notched and Drilled, Baccarat, 48 mm Show",2021-03-22,False
['http://themogh.org/cg_pix/nv/262772.jpg'],CG262772 Current Denom: $25000 Added: 2021-03-22 Color: Pink Inserts: 3 White/Blurple Mold: House Inlay: OOR-GRAY-WS Catalog#: NotInTCR Contributed by: David Sarles Notched and Drilled Show,2021-03-22,False
['http://themogh.org/cg_pix/nv/262767.jpg'],"CG262767 Current Denom: $100000 Added: 2021-03-22 Last Update: 2021-03-22 Color: Gray Inserts: 3 Red/Black Mold: House Inlay: OOR-GRAY-WS Catalog#: NotInTCR Contributed by: David Sarles Notched and Drilled, Baccarat, 48mm Show",2021-03-22,False
['http://themogh.org/cg_pix/nv/262773.jpg'],CG262773 Current Denom: $100000 Added: 2021-03-22 Color: Gray Inserts: 4 Red-V/4 Black-V Mold: House Inlay: OOR-GRAY-WS Catalog#: NotInTCR Contributed by: David Sarles Notched and Drilled Show,2021-03-22,False
