image_name,x_centers,y_centers,widths,heights
0.png,0.3212890625;0.3896484375;0.6611328125;0.72998046875;0.40234375;0.38330078125;0.21337890625;0.486328125;0.7685546875;0.748046875;0.94775390625,0.03125;0.919921875;0.3427734375;0.333984375;0.87109375;0.09228515625;0.09228515625;0.767578125;0.189453125;0.09375;0.73779296875,0.05859375;0.05859375;0.05859375;0.0556640625;0.0546875;0.0537109375;0.0537109375;0.052734375;0.052734375;0.052734375;0.0498046875,0.05859375;0.05859375;0.05859375;0.0546875;0.0546875;0.0537109375;0.0537109375;0.052734375;0.052734375;0.052734375;0.0498046875
1.png,0.8225;0.463125;0.434375;0.266875;0.37375;0.58875;0.93875,0.71125;0.266875;0.200625;0.8175;0.4725;0.765;0.318125,0.0575;0.05625;0.05375;0.05375;0.0525;0.0525;0.0525,0.0575;0.05625;0.05375;0.0525;0.0525;0.0525;0.05125
2.png,0.24462890625;0.53564453125;0.3779296875;0.24169921875;0.81396484375;0.46533203125;0.13134765625;0.0771484375;0.111328125;0.7412109375,0.4009067357512953;0.7784974093264249;0.266839378238342;0.2338082901554404;0.11593264248704663;0.5705958549222798;0.14572538860103626;0.04792746113989637;0.39766839378238344;0.8983160621761658,0.0595703125;0.0576171875;0.056640625;0.0556640625;0.0537109375;0.0537109375;0.0537109375;0.05078125;0.05078125;0.05078125,0.07901554404145078;0.07512953367875648;0.07512953367875648;0.07383419689119171;0.07124352331606218;0.07124352331606218;0.07124352331606218;0.06735751295336788;0.06735751295336788;0.06606217616580311
3.png,0.3603515625;0.1357421875;0.94873046875;0.0380859375;0.16943359375;0.94921875;0.24267578125;0.78955078125,0.3515625;0.3736979166666667;0.7962239583333334;0.7239583333333334;0.189453125;0.15104166666666666;0.6256510416666666;0.291015625,0.05859375;0.056640625;0.0556640625;0.0546875;0.0537109375;0.052734375;0.0517578125;0.0517578125,0.078125;0.07552083333333333;0.07421875;0.07291666666666667;0.07161458333333333;0.0703125;0.06901041666666667;0.06901041666666667
4.png,0.5791015625;0.48486328125;0.455078125;0.77978515625;0.6103515625;0.21875;0.8544921875;0.54248046875,0.14452554744525548;0.8839416058394161;0.7678832116788321;0.7496350364963503;0.145985401459854;0.9036496350364963;0.6423357664233577;0.5934306569343065,0.05859375;0.0576171875;0.056640625;0.0556640625;0.0546875;0.0546875;0.0546875;0.0517578125,0.08759124087591241;0.08613138686131387;0.08467153284671533;0.08321167883211679;0.08175182481751825;0.08175182481751825;0.08175182481751825;0.07737226277372262
5.png,0.548828125;0.82666015625;0.07177734375;0.39013671875;0.63720703125;0.23974609375;0.96142578125,0.6963636363636364;0.6554545454545454;0.29545454545454547;0.31363636363636366;0.639090909090909;0.46090909090909093;0.8109090909090909,0.05859375;0.0576171875;0.0576171875;0.0537109375;0.0537109375;0.0537109375;0.0498046875,0.10909090909090909;0.10727272727272727;0.10727272727272727;0.1;0.1;0.1;0.09090909090909091
6.png,0.4833984375;0.8251953125;0.1025390625;0.85693359375;0.68896484375;0.7216796875;0.125;0.57421875;0.82568359375;0.11181640625;0.79736328125,0.5841874084919473;0.47144948755490484;0.6925329428989752;0.5512445095168375;0.5446559297218155;0.04685212298682284;0.6471449487554904;0.1683748169838946;0.34333821376281115;0.25988286969253294;0.3506588579795022,0.05859375;0.056640625;0.052734375;0.0517578125;0.0517578125;0.05078125;0.05078125;0.05078125;0.0498046875;0.0498046875;0.0498046875,0.08784773060029283;0.0849194729136164;0.07906295754026355;0.07759882869692533;0.07613469985358712;0.07613469985358712;0.07613469985358712;0.07613469985358712;0.0746705710102489;0.0746705710102489;0.0746705710102489
7.png,0.26708984375;0.23193359375;0.837890625;0.7255859375;0.03076171875;0.052734375;0.35400390625;0.48193359375;0.8681640625;0.96484375,0.51611328125;0.94482421875;0.11328125;0.58984375;0.40869140625;0.71875;0.84375;0.71142578125;0.4736328125;0.890625,0.0576171875;0.0576171875;0.056640625;0.056640625;0.0556640625;0.0546875;0.0537109375;0.0517578125;0.05078125;0.05078125,0.0576171875;0.0576171875;0.056640625;0.056640625;0.0556640625;0.0546875;0.052734375;0.0517578125;0.05078125;0.05078125
8.png,0.41748046875;0.5947265625;0.72119140625;0.140625;0.36767578125;0.20263671875;0.75830078125;0.873046875;0.962890625,0.59423828125;0.4482421875;0.87353515625;0.3095703125;0.03759765625;0.81396484375;0.330078125;0.5947265625;0.7021484375,0.0595703125;0.05859375;0.0576171875;0.056640625;0.0556640625;0.0537109375;0.0537109375;0.052734375;0.05078125,0.0595703125;0.05859375;0.0576171875;0.056640625;0.0556640625;0.0537109375;0.052734375;0.052734375;0.05078125
9.png,0.325625;0.8659375;0.179375;0.7265625;0.06;0.4096875;0.8821875;0.7375,0.17555555555555555;0.6905555555555556;0.057777777777777775;0.7594444444444445;0.36;0.405;0.82;0.6888888888888889,0.05875;0.058125;0.0575;0.056875;0.055;0.054375;0.054375;0.05,0.10444444444444445;0.10333333333333333;0.10222222222222223;0.10111111111111111;0.09777777777777778;0.09666666666666666;0.09555555555555556;0.08888888888888889
